	(39117)
Fife	(2)
eldest	(9)
beaten	(12)
Athol	(1)
Murray	(1)
Angus	(1)
Menteith	(1)
honourable	(31)
spoil	(17)
prize	(12)
ha	(27)
faith	(108)
conquest	(18)
prince	(140)
boast	(12)
Yea	(62)
thou	(1506)
makest	(7)
sin	(56)
envy	(19)
Lord	(449)
Should	(41)
father	(344)
blest	(8)
who	(171)
theme	(4)
honour	(206)
tongue	(149)
Amongst	(6)
grove	(5)
straightest	(1)
plant	(11)
Who	(185)
sweet	(150)
Fortune	(18)
minion	(3)
Whilst	(19)
looking	(8)
praise	(29)
him	(1387)
See	(35)
riot	(5)
dishonour	(18)
stain	(23)
brow	(23)
young	(130)
O	(523)
could	(152)
proved	(10)
some	(268)
night	(179)
tripping	(3)
fairy	(1)
had	(332)
exchanged	(2)
cradle	(8)
clothes	(5)
where	(205)
lay	(89)
call	(166)
mine	(292)
Plantagenet	(42)
would	(504)
have	(1382)
thoughts	(73)
think	(239)
coz	(7)
adventure	(8)
surprised	(7)
use	(66)
keeps	(19)
sends	(12)
word	(127)
none	(106)
but	(974)
uncle	(114)
teaching	(5)
Malevolent	(1)
aspects	(1)
makes	(92)
prune	(2)
himself	(128)
bristle	(3)
up	(365)
crest	(13)
youth	(57)
against	(157)
your	(1733)
dignity	(17)
sent	(85)
answer	(117)
cause	(115)
awhile	(33)
must	(358)
neglect	(6)
Our	(110)
Jerusalem	(11)
Cousin	(25)
Wednesday	(6)
next	(61)
Will	(100)
hold	(105)
at	(696)
Windsor	(7)
inform	(6)
lords	(214)
come	(421)
yourself	(60)
speed	(41)
again	(222)
said	(114)
Than	(110)
out	(353)
anger	(14)
can	(275)
uttered	(3)
Exeunt	(312)
II	(218)
An	(94)
apartment	(2)
WALES	(3)
Now	(247)
Hal	(41)
what	(654)
lad	(14)
Thou	(211)
art	(240)
fat	(30)
witted	(5)
drinking	(10)
sack	(38)
unbuttoning	(1)
thee	(906)
after	(94)
supper	(20)
sleeping	(17)
upon	(437)
benches	(1)
noon	(5)
hast	(163)
forgotten	(6)
demand	(21)
truly	(32)
which	(354)
wouldst	(26)
know	(345)
devil	(80)
do	(803)
Unless	(35)
hours	(47)
cups	(3)
minutes	(6)
capons	(1)
clocks	(3)
tongues	(23)
bawds	(1)
dials	(2)
signs	(13)
leaping	(1)
houses	(8)
sun	(76)
fair	(198)
wench	(13)
flame	(4)
coloured	(3)
taffeta	(1)
reason	(61)
why	(91)
shouldst	(13)
superfluous	(8)
Indeed	(17)
near	(77)
purses	(8)
moon	(17)
seven	(20)
stars	(15)
Phoebus	(4)
wandering	(9)
knight	(49)
prithee	(29)
wag	(8)
king	(861)
God	(526)
save	(67)
thy	(1227)
grace	(289)
majesty	(194)
should	(390)
say	(383)
wilt	(84)
troth	(27)
serve	(37)
prologue	(3)
egg	(1)
butter	(6)
Well	(140)
how	(285)
roundly	(4)
Marry	(37)
squires	(3)
body	(96)
called	(20)
thieves	(12)
beauty	(40)
Diana	(1)
foresters	(1)
gentlemen	(48)
shade	(11)
minions	(3)
good	(683)
government	(16)
being	(150)
governed	(3)
sea	(55)
chaste	(4)
mistress	(23)
countenance	(17)
steal	(24)
sayest	(14)
holds	(24)
too	(305)
fortune	(80)
doth	(277)
ebb	(6)
flow	(11)
proof	(16)
purse	(21)
gold	(48)
most	(216)
resolutely	(2)
snatched	(1)
Monday	(1)
dissolutely	(1)
spent	(22)
Tuesday	(2)
morning	(30)
got	(39)
swearing	(4)
Lay	(7)
crying	(12)
Bring	(16)
low	(29)
foot	(68)
ladder	(4)
high	(105)
ridge	(1)
gallows	(9)
honey	(14)
Hybla	(1)
castle	(34)
buff	(2)
jerkin	(3)
robe	(10)
durance	(2)
How	(269)
mad	(46)
quips	(1)
quiddities	(1)
plague	(33)
Why	(268)
pox	(5)
reckoning	(7)
oft	(28)
pay	(49)
part	(132)
ll	(599)
give	(284)
due	(23)
paid	(17)
elsewhere	(3)
coin	(9)
stretch	(5)
used	(25)
credit	(10)
here	(462)
apparent	(17)
heir	(58)
standing	(8)
resolution	(12)
fobbed	(1)
rusty	(3)
curb	(3)
antic	(3)
law	(81)
Do	(80)
hang	(38)
thief	(13)
shalt	(92)
rare	(8)
judge	(32)
judgest	(2)
false	(79)
already	(43)
mean	(81)
hanging	(7)
become	(42)
hangman	(5)
sort	(25)
