	(51557)
husband	(100)
charge	(48)
horns	(13)
garlands	(3)
Your	(234)
sir	(589)
know	(635)
things	(124)
nature	(198)
infinite	(19)
book	(27)
secrecy	(5)
little	(139)
read	(66)
Show	(26)
hand	(304)
Bring	(31)
banquet	(14)
quickly	(25)
wine	(39)
enough	(106)
health	(42)
drink	(63)
Good	(226)
give	(356)
fortune	(117)
foresee	(4)
Pray	(69)
then	(532)
one	(544)
yet	(454)
fairer	(11)
than	(532)
means	(98)
flesh	(39)
paint	(6)
old	(188)
Wrinkles	(2)
forbid	(24)
Vex	(2)
prescience	(2)
attentive	(2)
Hush	(2)
more	(781)
beloving	(1)
had	(456)
rather	(114)
heat	(24)
liver	(6)
drinking	(7)
excellent	(27)
married	(49)
three	(95)
kings	(36)
forenoon	(2)
widow	(10)
let	(543)
child	(65)
fifty	(13)
whom	(115)
Herod	(6)
Jewry	(4)
may	(464)
homage	(4)
Octavius	(23)
companion	(8)
mistress	(98)
outlive	(6)
lady	(198)
serve	(66)
long	(136)
figs	(3)
seen	(124)
proved	(16)
former	(27)
Than	(181)
approach	(19)
belike	(3)
children	(40)
no	(934)
names	(14)
prithee	(49)
many	(185)
boys	(31)
wenches	(3)
wishes	(11)
womb	(19)
fertile	(4)
wish	(83)
million	(6)
Out	(43)
forgive	(12)
witch	(10)
think	(342)
none	(129)
sheets	(12)
privy	(3)
Iras	(9)
hers	(28)
fortunes	(62)
Mine	(31)
drunk	(21)
bed	(140)
palm	(17)
presages	(2)
chastity	(10)
if	(620)
nothing	(208)
E	(8)
en	(66)
erflowing	(1)
Nilus	(6)
presageth	(1)
famine	(6)
Go	(169)
wild	(33)
bedfellow	(3)
cannot	(244)
soothsay	(1)
oily	(2)
fruitful	(7)
prognostication	(1)
scratch	(8)
mine	(327)
ear	(76)
Prithee	(44)
worky	(1)
day	(296)
particulars	(6)
said	(132)
Am	(21)
inch	(6)
she	(655)
Well	(166)
were	(441)
choose	(26)
Not	(180)
nose	(20)
Our	(168)
worser	(9)
thoughts	(88)
heavens	(71)
mend	(22)
woman	(109)
Isis	(8)
beseech	(79)
die	(151)
worse	(55)
worst	(42)
follow	(119)
till	(139)
laughing	(5)
grave	(88)
fold	(15)
cuckold	(13)
prayer	(17)
though	(137)
deny	(33)
matter	(155)
weight	(14)
Amen	(23)
Dear	(13)
goddess	(10)
heartbreaking	(1)
handsome	(5)
loose	(14)
wived	(2)
deadly	(17)
sorrow	(65)
foul	(72)
knave	(58)
uncuckolded	(1)
dear	(176)
keep	(163)
decorum	(2)
